Process,Comm,IO,CPU,Total
1,0.000000,4.834301,27.023640,31.857941
1,0.000000,4.543955,26.890021,31.433976
1,0.000000,4.457782,26.962461,31.420242
1,0.000000,4.417416,26.954990,31.372406
1,0.000000,4.632446,26.710925,31.343371
1,0.000000,4.756060,28.412737,33.168798
1,0.000000,4.749184,27.555343,32.304526
1,0.000000,4.720179,26.577816,31.297995
1,0.000000,4.451277,26.609810,31.061087
1,0.000000,4.493808,26.724983,31.218790
2,0.847366,8.550787,15.130476,24.528629
2,0.818801,3.586005,15.262441,19.667247
2,0.844835,3.534596,14.652475,19.031906
2,0.817015,3.591779,14.647566,19.056361
2,0.846413,4.595911,14.393432,19.835755
2,0.842673,5.063587,14.669048,20.575308
2,0.831988,3.090172,14.706937,18.629098
2,0.846145,3.219166,14.529509,18.594820
2,0.828855,3.685350,14.608912,19.123117
2,0.807705,5.157056,14.602750,20.567511
3,1.484060,3.489914,11.074807,16.048781
3,1.457902,3.467060,11.076205,16.001167
3,1.471209,3.499270,11.100545,16.071024
3,1.481785,3.361721,11.073514,15.917020
3,1.462924,3.439821,11.058642,15.961387
3,1.433618,2.798036,11.196854,15.428509
3,1.472618,3.450406,11.127077,16.050102
3,1.445338,3.136248,11.165529,15.747115
3,1.463861,3.472165,11.109673,16.045699
3,1.514739,3.176494,11.147830,15.839063
4,1.393164,2.655967,9.449593,13.498723
4,1.433812,2.297102,9.145584,12.876498
4,1.578707,2.189864,9.170736,12.939307
4,1.453147,2.702881,9.250832,13.406861
4,1.387882,2.741354,9.069453,13.198688
4,1.452174,2.373572,9.241607,13.067352
4,4.358470,2.700989,10.060636,17.120095
4,1.906589,2.558837,9.225245,13.690671
4,1.380216,2.524442,10.643349,14.548007
4,2.486100,2.594586,9.167167,14.247853
5,0.925415,3.022465,8.438728,12.386607
5,0.938130,3.249075,8.463508,12.650713
5,0.982877,3.270296,8.902166,13.155339
5,3.553436,2.941487,8.700880,15.195804
5,0.944026,2.992076,8.442386,12.378489
5,3.477300,2.941501,8.709808,15.128609
5,0.931528,2.947440,8.447111,12.326079
5,3.532617,2.914195,8.737886,15.184698
5,0.949942,3.344831,8.462158,12.756931
5,3.486390,2.978006,8.713713,15.178109
6,1.168035,2.897466,7.540266,11.605767
6,1.255874,3.153681,10.140698,14.550253
6,1.196797,2.524021,7.517933,11.238752
6,1.272228,2.620857,10.080997,13.974082
6,1.210616,2.838764,7.520853,11.570233
6,1.259082,2.500525,10.124065,13.883672
6,1.212550,2.483789,7.526573,11.222913
6,1.265726,2.876419,10.119463,14.261607
6,1.189319,2.674336,7.525604,11.389259
6,1.269121,3.093224,10.137694,14.500039
7,1.265829,2.138313,7.226239,10.630381
7,1.484673,3.041127,9.496051,14.021850
7,1.294021,2.712717,7.246745,11.253483
7,1.406904,3.016386,9.076130,13.499421
7,1.490616,2.609512,9.497655,13.597784
7,1.267200,2.423775,7.222605,10.913581
7,1.482057,2.907143,9.535948,13.925148
7,1.269387,2.486747,7.224791,10.980924
7,1.499321,3.082842,9.520406,14.102569
7,1.490690,2.610723,9.519933,13.621346
8,1.849823,1.525141,8.955910,12.330874
