ratio,test,iter,size,CPU,Comm,total
1.000000,1,3,1,0.000088,0.000171,0.000259
1.000000,2,15,7,0.014940,0.002394,0.017335
1.000000,3,21,10,0.055565,0.001760,0.057324
1.000000,4,0,0,0.000009,0.000000,0.000009
1.000000,5,1,0,0.000092,0.000062,0.000154
1.000000,6,11,44221,0.003070,0.000627,0.003698
1.000000,7,4,7540,0.001040,0.001319,0.002359
1.000000,8,1,0,0.015894,0.001318,0.017212
1.000000,9,25,65097,0.001667,0.000433,0.002100
1.000000,10,37,41126,0.012674,0.001334,0.014008
1.000000,11,14,7,0.015024,0.002439,0.017463
1.000000,12,0,0,0.000004,0.000000,0.000004
1.000000,13,16,8,0.012141,0.001444,0.013585
1.000000,14,16,8021,0.011120,0.001941,0.013061
1.000000,15,22,9580,0.036264,0.006952,0.043216
1.000000,16,12,36007,0.008591,0.000464,0.009055
1.000000,17,21,262121,0.012474,0.002073,0.014547
1.000000,18,13,96842,0.022293,0.002730,0.025022
1.000000,19,3,7,0.017187,0.001883,0.019070
1.000000,20,25,7286,0.001890,0.000308,0.002198
1.000000,21,26,12068,0.001345,0.000344,0.001688
1.000000,22,25,36118,0.006165,0.000395,0.006559
1.000000,23,25,260492,0.004285,0.001220,0.005505
1.000000,24,15,90578,0.003567,0.000661,0.004229
1.000000,25,3,7,0.001889,0.000136,0.002026
1.000000,26,1,0,0.000422,0.000099,0.000521
1.000000,27,25,124661,0.002170,0.000606,0.002776
1.000000,28,26,977433,0.012423,0.005060,0.017483
1.000000,29,25,683282,0.067083,0.003373,0.070456
1.000000,30,25,41762658,0.990132,0.309168,1.299300
1.000000,31,21,18686279,0.544040,0.121808,0.665848
1.000000,32,3,6,0.163764,0.003700,0.167464
1.000000,33,13,359164849,6.060939,1.872554,7.933493
1.000000,34,13,213258851,5.589930,1.190829,6.780759
1.000000,35,13,359160766,6.809062,1.899604,8.708666
1.000000,36,13,41010895,3.284556,0.171931,3.456487
1.000000,37,13,28503032,2.203401,0.168720,2.372121
1.000000,38,13,359121496,6.806704,1.721042,8.527747
1.000000,39,25,349660824,4.844020,1.844496,6.688516
